佩士科夫之眼	迴天氣訣的冷卻時間縮短 (38-50)%	「肉身之眼緊閉之時，心靈之視更見明晰。」 —僧院長佩士科夫
柯克吉的不屈精神	對敵人造成傷害時有一定機率移除技能的精氣消耗，持續 (2-4) 秒	據說這枚練氣石曾是睿智的武僧柯克吉眉骨上的飾品。在他接受五大試煉時，心神從無一刻動搖。如今，這不屈不撓的意志仍縈繞著這副頭飾。
瑟夫之律	施展炫目神光會恢復 (125-165) 點精氣	名聞遐邇的瑟夫宗座總能以明白曉暢的方式啟發學生，引領他們悟道，這枚練氣石正是因他而得名。此石能將武僧內在的智悟靈光體現於外、耀射而出，令敵人目眩致盲。
左克林的凝視	金鐘破改為對敵人施放	一名老戰士來向左克林詢問如何平撫紛擾的心靈。「把你的心交給我，我便能使它平靜下來。」聽到這番話，老戰士立刻悟道了。
暴風之眼		極致的力量由平靜的中心點湧現。
空靈無惡		眼中只見光明之人，穢邪不敢近身。
知識之眼	雲龍擺尾會施放出可穿透敵人的火球，對命中地點 10 碼內的敵人造成 (1050-1400)% 武器傷害值的火焰傷害	這顆石頭能把敵人包覆在熊熊烈火的溫暖懷抱之中，尖嘯聲掩蓋了他們誠摯的感謝。
二郎神天眼		二郎神克服萬難殺死興風作浪的蛟龍，並且喚醒了他的天眼。
心眼	八相陣可使每秒精氣凝聚提高 (10-15) 點	只有打開第十道門的人才能淨化她的靈魂。
牛黃結石		這顆石頭歷經多場磨練，才獲得獨特的魔力。
狂石	你的七星閃會附加爆裂掌效果	據說武僧瓦列特不敵這顆石頭的魔力而喪失心智。你能抵擋藏在石頭中的腐化魔力嗎？
