顎碎	瞬影打擊中 (30-35) 碼外的敵人時會歸還使用次數	凡口出邪穢之言者，必當就此沉默。
罪痕		留下的每道疤痕都象徵著被原諒的罪。
錘拳		「大熊一拳打垮了公會的大屋，他們的貪婪也隨之暴露。」 —《北方記事》
水晶之拳		體為心用，清澄透徹，無堅不摧。
肉耙		光見到這武器便足以平息可能導致戰爭的糾紛。
流雲橋		以拳正其目光，助其仰望天堂，領受眾神眷顧。
羅根之爪		戴上這武器可喚醒潛藏心中的野獸。
惡魔之爪		唯一通過惡魔之路的學生被砍掉了手，改縫上一隻熾熱的手爪。
狂擊		活過冬熱病摧殘的人，依然保有其狂症之蠻力。
仇憎之風	勁風煞的堆疊次數上限提高 (6-7) 次	「有學者說，暴力無法遏止邪惡。我說，只有以暴制暴才能解決問題。」 —「不屈者」阿齊耶
京四郎之刃	金鐘破的傷害提高 150%。若初始傷害所擊中的敵人未超過 3 名時，傷害提高 (200-250)%	京四郎抱著樂觀的心情參加仙塞之戰，即便圍牆在他四周紛紛倒下，京四郎還是迅速把眼前的敵人給解決掉。
厄圖拉斯之拳	爆裂掌在目標死亡時觸發的爆炸傷害提高 (250-300)%	腐敗的厄圖拉斯總督動輒以維護秩序的名義嚴懲輕犯，在他執政期間，數百人慘遭酷刑、殘廢喪命，不論有罪無罪。
水晶之拳	瞬影打會使你受到的傷害降低 (40-50)%，持續 6 秒	體為心用，清澄透徹，無堅不摧。
肉耙	瞬影打會使瞬影打的傷害提高 (75-100)%，持續 1 秒，最多可堆疊 5 次	光見到這武器便足以平息可能導致戰爭的糾紛。
猛獅之爪	七星閃可額外發動 7 次攻擊	烏蓮娜狂暴無情的攻擊經常被比作一頭獅子。
惡魔之手		唯一通過惡魔之路的學生被砍掉了手，改縫上一隻熾熱的手爪。
